Accession	Female_Parent	Male_Parent
TMS14F1173P0004	TMS13F1212P0032	TMS13F1333P0003
IITA-TMS-IBA051740	IITA-TMS-IBA950967	\N
TMS13F1050P0008	IITA-TMS-MM970806	IITA-TMS-IBA071313
TMS14F1243P0009	TMS13F1333P0003	TMS13F1108P0007
TMS13F1003P0003	IITA-TMS-IBA960557	IITA-TMS-IBA940006
TMS14F1301P0005	IITA-TMS-IBA020431	IITA-TMS-IBA030055A
TMS14F1173P0006	TMS13F1212P0032	TMS13F1333P0003
TMS13F1307P0001	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS14F1201P0003	TMS13F1333P0017	TMS13F1307P0020
IITA-TMS-IBA070962	IITA-TMS-IBA011610	IITA-TMS-IBA011610
TMS14F1122P0003	TMS13F1332P0042	TMS13F1333P0003
TMS13F1333P0029	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS14F1295P0001	IITA-TMS-IBA930265	IITA-TMS-IBA030055A
TMS13F1045P0018	IITA-TMS-IBA970353	IITA-TMS-IBA010903
TMS13F1079P0002	IITA-TMS-IBA020131	IITA-TMS-ZAR930151
TMS13F1306P0001	IITA-TMS-IBA030060	IITA-TMS-IBA000355
TMS14F1016P0001	TMS13F1307P0011	TMS13F1108P0007
TMS13F1216P0028	IITA-TMS-IBA011412	IITA-TMS-IBA020540
IITA-TMS-IBA070576	IITA-TMS-IBA011371	IITA-TMS-IBA990067
TMS13F1214P0036	IITA-TMS-IBA011412	IITA-TMS-IBA020233
TMS14F1292P0015	IITA-TMS-MM970806	IITA-TMS-IBA030055A
TMS13F1216P0015	IITA-TMS-IBA011412	IITA-TMS-IBA020540
TMS14F1195P0005	TMS13F1106P0006	TMS13F1307P0020
TMS13F1145P0005	IITA-TMS-IBA961632	TMEB117
IITA-TMS-IBA070824	IITA-TMS-IBA011646	IITA-TMS-IBA051640
IITA-TMS-IBA061744	IITA-TMS-IBA011442	ICB5-10(80411)
TMS13F1059P0006	IITA-TMS-IBA980196	IITA-TMS-ZAR930151
